,Total Assets,Total Current Assets,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,Total Non-Current Liabilities,Total Equity,Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Gross Profit,Total Revenue,Total Operating Profit/Loss,Diluted EPS,Diluted WASO,Open,return,Net Income,Gross Margin,Total Current Equity,Net Income to Total Assets ratio,Net Income to Total Equity ratio,Total Assets to Total Equity ratio,Total Revenue to Total Assets ratio,Total Revenue to Total Equity ratio,Gross Profit to Total Assets ratio,Gross Profit to Total Equity ratio,Price to Total Assets ratio,Price to Total Current Assets ratio,Price to Total Non-Current Assets ratio,Price to Total Liabilities ratio,Price to Total Current Liabilities ratio,Price to Total Non-Current Liabilities ratio,Price to Total Equity ratio,Price to Cash Generated from Operating Activities ratio,Price to Income/Loss before Non-Cash Adjustment ratio,Price to Changes in Operating Capital ratio,Price to Cash Flow from Investing Activities ratio,Price to Cash Flow from Financing Activities ratio,Price to Change in Cash ratio,"Price to Cash and Cash Equivalents, Beginning of Period ratio",Price to Gross Profit ratio,Price to Total Revenue ratio,Price to Total Operating Profit/Loss ratio,Price to Diluted EPS ratio,Price to Net Income ratio
10,290479000000.0,89378000000.0,201101000000.0,171124000000.0,80610000000.0,90514000000.0,119355000000.0,81266000000.0,53394000000.0,11647000000.0,-56274000000.0,-17716000000.0,7276000000.0,13844000000.0,93626000000.0,233715000000.0,71230000000.0,2.31,23172276000.0,27.8475,-0.0788221563874674,53527957560.0,0.4005990201741437,8768000000.0,0.18427479287659349,0.44847687620962673,2.433739684135562,0.8045848409007191,1.9581500565539776,0.3223158989117974,0.7844329940094675,10431062034.293922,3209552024.418709,7221510009.875214,6145039949.726188,2894694317.263668,3250345632.462519,4286022084.567735,2918251189.514319,1917371397.7915432,418242212.0477601,-2020791812.5504982,-636179190.2325164,261280186.73130444,497136188.1676991,3362097136.1881676,8392674387.287908,2557859771.972349,0.08295179100457852,1922181795.8524106
11,321686000000.0,106869000000.0,214817000000.0,193437000000.0,79006000000.0,114431000000.0,128249000000.0,65824000000.0,45687000000.0,484000000.0,-45977000000.0,-20483000000.0,-636000000.0,21120000000.0,84263000000.0,215639000000.0,60024000000.0,2.08,22001124000.0,25.6525,0.1285450151057402,45762337920.0,0.3907595564809705,27863000000.0,0.14225778529373365,0.35682413055852286,2.5082924623193943,0.670340021014281,1.6814088219011454,0.2619417693029849,0.6570265655092827,12540142286.326868,4166026703.050385,8374115583.276484,7540668550.823506,3079855764.545366,4460812786.278141,4999473735.503363,2565987720.4950786,1780996004.2880812,18867556.768346164,-1792300945.3269663,-798479680.3430465,-24792905.174934216,823311568.0732872,3284787057.7916384,8406159243.738427,2339888899.7173767,0.08108371503752071,1783932868.9211578
12,375319000000.0,128645000000.0,246674000000.0,241272000000.0,100814000000.0,140458000000.0,134047000000.0,63598000000.0,48351000000.0,-5550000000.0,-46446000000.0,-17347000000.0,-195000000.0,20484000000.0,88186000000.0,229234000000.0,61344000000.0,2.3,21006768000.0,28.950001,0.4694300355982715,48315566400.0,0.38469860491899105,27831000000.0,0.12873200237664492,0.3604375062478086,2.799906003118309,0.6107711040474902,1.7101016807537655,0.23496279165190145,0.6578737308555954,12964386426.100641,4443695874.138311,8520690551.96233,8334092976.369845,3482348757.0863986,4851744219.283446,4630293449.730796,2196822031.1978574,1670155382.7234755,-191709837.937484,-1604352276.1881769,-599205506.0723487,-6735751.062668357,707564742.3984544,3046148426.730624,7918272610.767785,2118963657.3760395,0.07944732022634472,1668931424.216531
13,365725000000.0,131339000000.0,234386000000.0,258578000000.0,116866000000.0,141712000000.0,107147000000.0,77434000000.0,59531000000.0,34694000000.0,16066000000.0,-87876000000.0,5624000000.0,20289000000.0,101839000000.0,265595000000.0,70898000000.0,2.98,20000436000.0,42.540001,-0.0897390905091892,59601299280.0,0.38343718820007905,14473000000.0,0.16296752827944494,0.5562572846649929,3.4133013523477094,0.7262150522933899,2.4787908200882898,0.2784578576799508,0.950460582190822,8597202430.719267,3087423528.7394567,5509778901.97981,6078467181.982436,2747202568.236893,3331264613.745543,2518735248.73683,1820263238.8278506,1399412284.9221373,815561804.9938457,377668068.2259505,-2065726326.6166828,132204980.43711847,476939339.9873216,2393958570.8989525,6243417812.80165,1666619612.9144428,0.07005171438524414,1401064830.2523549
14,338516000000.0,162819000000.0,175697000000.0,248028000000.0,105718000000.0,142310000000.0,90488000000.0,69391000000.0,55256000000.0,-3488000000.0,45896000000.0,-90976000000.0,24311000000.0,25913000000.0,98392000000.0,260174000000.0,63930000000.0,2.97,18595652000.0,38.7225,0.9125830718574472,55229086440.0,0.3781776810903472,57101000000.0,0.1631505938862565,0.6103470785076475,3.7410043320661304,0.7685722388306608,2.875232074971267,0.29065686703139587,1.087348598709221,8742100845.761509,4204764671.702499,4537336174.05901,6405268254.890568,2730143973.14223,3675124281.7483377,2336832590.8709407,1792007230.9380853,1426973981.5352833,-90076828.71715412,1185254051.2621863,-2349435082.9621024,627826199.2381691,669197494.9964491,2540951643.1015563,6718936019.110337,1650978113.4999032,0.07669959325973273,1426278944.7995353
15,323888000000.0,143713000000.0,180175000000.0,258549000000.0,105392000000.0,153157000000.0,65339000000.0,80674000000.0,57411000000.0,5690000000.0,-4289000000.0,-86820000000.0,-10435000000.0,50224000000.0,104956000000.0,274515000000.0,66288000000.0,3.28,17528214000.0,74.059998,0.8028626465801418,57492541920.0,0.38233247727810865,38321000000.0,0.1775074776465939,0.8799115676701511,4.957039440456695,0.8475615027416885,4.201395797303295,0.32405028898878624,1.6063300632088033,4373319048.698868,1940494246.3001418,2432824802.3987255,3491074898.4897356,1423062420.2825391,2068012478.2071965,882244150.2091318,1089305997.5507967,775195808.1338323,76829599.69834189,-57912504.93957616,-1172292767.2776875,-140899274.66646707,678152867.3549249,1417175301.5710318,3706656864.8840637,895058085.2027569,0.044288415994826254,776296833.2783375
16,351002000000.0,134836000000.0,216166000000.0,287912000000.0,125481000000.0,162431000000.0,63090000000.0,104038000000.0,94680000000.0,-4911000000.0,-14545000000.0,-93353000000.0,-3860000000.0,39789000000.0,152836000000.0,365817000000.0,108949000000.0,5.61,16864919000.0,133.520004,0.3318603705254533,94612195590.0,0.4177935962516778,9355000000.0,0.26954887889527696,1.4996385416072278,5.563512442542399,1.042207736708053,5.798335710889206,0.43542771836057914,2.4225075289269298,2628834552.761098,1009856171.0648241,1618978381.6962738,2156321085.7902613,939791763.3375745,1216529322.4526865,472513466.9708368,779194104.8773485,709107228.6067337,-36781005.488885395,-108934987.74910162,-699168642.9248459,-28909525.796598986,298000290.65307695,1144667431.2562184,2739791709.41307,815975110.366234,0.04201617609298454,708599406.4979208
17,352755000000.0,135405000000.0,217350000000.0,302083000000.0,153982000000.0,148101000000.0,50672000000.0,122151000000.0,99803000000.0,1200000000.0,-22354000000.0,-110749000000.0,-10952000000.0,35929000000.0,170782000000.0,394328000000.0,119437000000.0,6.11,16325819000.0,177.830002,-0.2673902179903254,99750754090.0,0.43309630561360085,-18577000000.0,0.2827763010871568,1.9685576667587623,6.961536943479634,1.1178523337727317,7.781970318913799,0.484137715978512,3.3703425955162616,1983664151.3393223,761429446.5339993,1222234704.805323,1698717857.5187778,865894383.7834518,832823473.7353262,284946293.8205444,686897591.1050149,561227008.252522,6748017.693887222,-125704322.94096245,-622780176.3169299,-61586908.152877375,202041273.10306165,960366631.4978728,2217443600.995967,671635824.4206734,0.034358656758042436,560933211.3149276
18,352583000000.0,143566000000.0,209017000000.0,290437000000.0,145308000000.0,145129000000.0,62146000000.0,110543000000.0,96995000000.0,-6577000000.0,3705000000.0,-108488000000.0,5760000000.0,24977000000.0,169148000000.0,383285000000.0,114301000000.0,6.13,15812547000.0,130.279999,0.4365213036269672,96930913110.0,0.4413112957720756,-1742000000.0,0.2749165816559505,1.5597289143307695,5.673462491552152,1.087077369016657,6.1674926785312,0.47973952232523975,2.7217841856273934,2706347886.907798,1101980358.473905,1604367528.4338925,2229329154.354691,1115351559.067789,1113977595.286902,477018732.5531066,848503230.3385265,744511826.4085956,-50483574.2284585,28438747.531768095,-832729512.0719182,44212465.79837631,191717839.97327173,1298342042.5110688,2942009540.543518,877348793.9618421,0.04705250266389701,744019909.8404967
19,13708474000.0,12386380000.0,1322094000.0,8932761000.0,6359282000.0,2573479000.0,4775713000.0,2189694000.0,-352034000.0,637923000.0,-1351955000.0,1431159000.0,2268898000.0,7668252000.0,4835927000.0,5991760000.0,542166000.0,-0.57,615891000.0,150.990005,0.0947545633898085,-351057869.99999994,0.8070962455105011,6027098000.0,-0.025608821959322382,-0.0735089964577017,2.870455992644449,0.43708439028297386,1.2546315073791077,0.35276917036863475,1.0126083791048583,90790605.6430689,82034436.65029351,8756168.992775382,59161273.62205201,42117238.15758533,17044035.464466672,31629332.02101689,14502244.701561537,-2331505.3205011818,4224935.28627938,-8953937.050336543,9478501.573663767,15026809.22488876,50786487.48968516,32028126.629971303,39683156.51092269,3590740.989776111,-0.003775084317667252,-2325040.4554924015
